backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
sv1,gate,default,5,20,100,5,qaoa-exp-sv1-n5-q20-0,100,38.0,41.175,1,2.132,4.813,2.132,4.813,0.68,False,27.978,2026-06-18T21:02:39.218056+00:00
sv1,gate,default,5,20,100,5,qaoa-exp-sv1-n5-q20-1,101,35.0,41.175,1,2.214,3.581,2.214,3.581,0.584333,False,26.878,2026-06-18T21:02:39.353723+00:00
sv1,gate,default,5,20,100,5,qaoa-exp-sv1-n5-q20-2,102,37.0,41.175,1,2.297,4.591,2.297,4.591,0.602,False,28.285,2026-06-18T21:02:39.488431+00:00
sv1,gate,default,5,20,100,5,qaoa-exp-sv1-n5-q20-3,103,38.0,41.175,1,3.309,5.146,3.309,5.146,0.655667,False,28.263,2026-06-18T21:02:39.614448+00:00
sv1,gate,default,5,20,100,5,qaoa-exp-sv1-n5-q20-4,104,38.0,41.175,1,2.098,5.717,2.098,5.717,0.625,False,27.658,2026-06-18T21:02:39.744509+00:00
