backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-0,100,610.0,628.63,1,21.018,23.4,21.018,23.4,0.608571,False,580.949,2026-06-18T22:04:11.130854+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-1,101,528.0,628.63,1,21.196,23.269,21.196,23.269,0.568095,False,498.335,2026-06-18T22:04:11.386741+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-3,103,478.0,628.63,1,31.434,33.19,31.434,33.19,0.65,False,438.054,2026-06-18T22:04:11.637951+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-4,104,574.0,628.63,1,117.094,119.286,117.094,119.286,0.587619,False,447.49,2026-06-18T22:04:11.890551+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-5,105,592.0,628.63,1,20.669,22.385,20.669,22.385,0.681905,False,563.802,2026-06-18T22:04:12.051474+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-6,106,621.0,628.63,1,47.823,49.708,47.823,49.708,0.637619,False,564.616,2026-06-18T22:04:12.193938+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-7,107,560.0,628.63,1,99.989,102.127,99.989,102.127,0.598571,False,451.843,2026-06-18T22:04:12.334895+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-8,108,605.0,628.63,1,117.543,119.222,117.543,119.222,0.678571,False,479.199,2026-06-18T22:04:12.479772+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-9,109,588.0,628.63,1,31.522,33.206,31.522,33.206,0.61619,False,548.315,2026-06-18T22:04:12.627945+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-10,110,544.0,628.63,1,171.342,173.137,171.342,173.137,0.668571,False,362.811,2026-06-18T22:04:12.768191+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-11,111,534.0,628.63,1,67.733,69.526,67.733,69.526,0.577143,False,458.871,2026-06-18T22:04:12.915677+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-12,112,552.0,628.63,1,83.732,85.492,83.732,85.492,0.585238,False,460.744,2026-06-18T22:04:13.063610+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-13,113,442.0,628.63,1,64.293,66.061,64.293,66.061,0.665238,False,369.158,2026-06-18T22:04:13.211875+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-14,114,518.0,628.63,1,46.713,48.45,46.713,48.45,0.496667,False,463.552,2026-06-18T22:04:13.360892+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-15,115,612.0,628.63,1,79.214,80.956,79.214,80.956,0.649048,False,524.945,2026-06-18T22:04:13.508156+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-16,116,554.0,628.63,1,29.45,33.014,29.45,33.014,0.592381,False,514.682,2026-06-18T22:04:13.660608+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-17,117,574.0,628.63,1,237.936,239.721,237.936,239.721,0.522857,False,327.78,2026-06-18T22:04:13.802725+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-18,118,608.0,628.63,1,98.943,102.365,98.943,102.365,0.584762,False,499.164,2026-06-18T22:04:13.946343+00:00
tn1,gate,default,20,14,100,5,qaoa-exp-tn1-n20-q14-19,119,558.0,628.63,1,63.077,64.92,63.077,64.92,0.608571,False,487.398,2026-06-18T22:04:14.099825+00:00
