backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
iqm_garnet,gate,default,1,14,100,5,qaoa-exp-iqm-garnet-n1-q14-0,100,321.0,325.268,1,41.617,46.247,41.617,46.247,0.610476,False,269.614,2026-06-18T22:21:50.872241+00:00
iqm_garnet,gate,default,5,14,100,5,qaoa-exp-iqm-garnet-n5-q14-0,100,297.0,360.614,1,45.908,49.565,45.908,49.565,0.630476,False,242.433,2026-06-18T22:27:52.853618+00:00
iqm_garnet,gate,default,5,14,100,5,qaoa-exp-iqm-garnet-n5-q14-1,101,299.0,360.614,1,48.949,52.748,48.949,52.748,0.535714,False,240.6,2026-06-18T22:27:53.034727+00:00
iqm_garnet,gate,default,5,14,100,5,qaoa-exp-iqm-garnet-n5-q14-2,102,355.0,360.614,1,50.193,53.991,50.193,53.991,0.560952,False,295.354,2026-06-18T22:27:53.210114+00:00
iqm_garnet,gate,default,5,14,100,5,qaoa-exp-iqm-garnet-n5-q14-3,103,329.0,360.614,1,75.101,79.019,75.101,79.019,0.611905,False,244.403,2026-06-18T22:27:53.346965+00:00
iqm_garnet,gate,default,5,14,100,5,qaoa-exp-iqm-garnet-n5-q14-4,104,358.0,360.614,1,78.177,81.585,78.177,81.585,0.579524,False,270.242,2026-06-18T22:27:53.482703+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-0,100,627.0,719.321,1,42.653,46.366,42.653,46.366,0.617143,False,575.411,2026-06-18T22:39:54.130224+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-1,101,655.0,719.321,1,46.604,49.788,46.604,49.788,0.527143,False,598.806,2026-06-18T22:39:54.312159+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-2,102,685.0,719.321,1,104.001,109.017,104.001,109.017,0.565238,False,569.916,2026-06-18T22:39:54.492218+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-3,103,651.0,719.321,1,45.528,49.071,45.528,49.071,0.554762,False,596.765,2026-06-18T22:39:54.631118+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-4,104,656.0,719.321,1,74.411,78.472,74.411,78.472,0.601429,False,572.845,2026-06-18T22:39:54.765462+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-5,105,710.0,719.321,1,105.658,110.387,105.658,110.387,0.613333,False,594.734,2026-06-18T22:39:54.907615+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-6,106,685.0,719.321,1,78.392,81.605,78.392,81.605,0.579048,False,598.595,2026-06-18T22:39:55.048317+00:00
iqm_garnet,gate,default,10,14,100,5,qaoa-exp-iqm-garnet-n10-q14-7,107,715.0,719.321,1,131.298,135.949,131.298,135.949,0.574762,False,573.622,2026-06-18T22:39:55.190534+00:00
