scheduler,rep,gang,app,size,ranks,final_status,pending_s,startup_s,apprun_s,total_s,assembly_span_s,run_s,worker_idle_node_s,placed_after_s,done_after_s,created_at,scheduled_at,ready_at,first_running_at,gang_up_at,app_start_at,app_end_at,nodes,node_layout
fluence,1,amg-n4-4ed781,amg,4,32,done,245.0,11.0,91.0,345.0,2.0,89.0,4.0,246.91,346.91,2026-07-01T14:05:46+00:00,2026-07-01T14:09:51+00:00,2026-07-01T14:10:02+00:00,2026-07-01T14:10:00+00:00,2026-07-01T14:10:02+00:00,2026-07-01T14:10:00+00:00,2026-07-01T14:11:31+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,qmcpack-n1-e2aca0,qmcpack,1,8,done,119.0,10.0,6.0,135.0,0.0,6.0,0.0,121.91,137.91,2026-07-01T14:05:47+00:00,2026-07-01T14:07:46+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:08:02+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1}"
fluence,1,amg-n2-2ec139,amg,2,16,done,38.0,9.0,85.0,132.0,0.0,85.0,0.0,41.91,135.91,2026-07-01T14:05:48+00:00,2026-07-01T14:06:26+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:08:00+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1}"
fluence,1,lammps-n1-c49384,lammps,1,8,done,134.0,9.0,74.0,217.0,0.0,74.0,0.0,137.91,220.91,2026-07-01T14:05:48+00:00,2026-07-01T14:08:02+00:00,2026-07-01T14:08:11+00:00,2026-07-01T14:08:11+00:00,2026-07-01T14:08:11+00:00,2026-07-01T14:08:11+00:00,2026-07-01T14:09:25+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-xshv"": 1}"
fluence,1,amg-n1-a4a101,amg,1,8,done,118.0,10.0,78.0,206.0,0.0,78.0,0.0,121.91,209.91,2026-07-01T14:05:48+00:00,2026-07-01T14:07:46+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:07:56+00:00,2026-07-01T14:09:14+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,qmcpack-n4-75b9f5,qmcpack,4,32,done,218.0,10.0,8.0,235.0,1.0,7.0,3.0,222.91,239.91,2026-07-01T14:05:49+00:00,2026-07-01T14:09:27+00:00,2026-07-01T14:09:37+00:00,2026-07-01T14:09:36+00:00,2026-07-01T14:09:37+00:00,2026-07-01T14:09:36+00:00,2026-07-01T14:09:44+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,lammps-n2-a024d0,lammps,2,16,done,60.0,10.0,45.0,114.0,1.0,44.0,1.0,65.91,119.91,2026-07-01T14:05:50+00:00,2026-07-01T14:06:50+00:00,2026-07-01T14:07:00+00:00,2026-07-01T14:06:59+00:00,2026-07-01T14:07:00+00:00,2026-07-01T14:06:59+00:00,2026-07-01T14:07:44+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
fluence,1,qmcpack-n2-1c4d30,qmcpack,2,16,done,36.0,11.0,9.0,54.0,2.0,7.0,2.0,41.91,59.91,2026-07-01T14:05:50+00:00,2026-07-01T14:06:26+00:00,2026-07-01T14:06:37+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:06:37+00:00,2026-07-01T14:06:35+00:00,2026-07-01T14:06:44+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
default,1,qmcpack-n1-3960b6,qmcpack,1,8,done,0.0,9.0,7.0,16.0,0.0,7.0,0.0,-0.09,15.91,2026-07-01T14:37:13+00:00,2026-07-01T14:37:13+00:00,2026-07-01T14:37:22+00:00,2026-07-01T14:37:22+00:00,2026-07-01T14:37:22+00:00,2026-07-01T14:37:22+00:00,2026-07-01T14:37:29+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1}"
default,1,amg-n4-cdcfb2,amg,4,32,done,21.0,10.0,111.0,120.0,22.0,89.0,65.0,21.91,120.91,2026-07-01T14:37:14+00:00,2026-07-01T14:37:35+00:00,2026-07-01T14:37:45+00:00,2026-07-01T14:37:23+00:00,2026-07-01T14:37:45+00:00,2026-07-01T14:37:23+00:00,2026-07-01T14:39:14+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-3b1g"": 1, ""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-775d"": 1}"
default,1,amg-n1-af661b,amg,1,8,done,120.0,10.0,79.0,209.0,0.0,79.0,0.0,121.91,210.91,2026-07-01T14:37:15+00:00,2026-07-01T14:39:15+00:00,2026-07-01T14:39:25+00:00,2026-07-01T14:39:25+00:00,2026-07-01T14:39:25+00:00,2026-07-01T14:39:25+00:00,2026-07-01T14:40:44+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
default,1,lammps-n1-96317a,lammps,1,8,done,121.0,10.0,74.0,205.0,0.0,74.0,0.0,122.91,206.91,2026-07-01T14:37:15+00:00,2026-07-01T14:39:16+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:40:40+00:00,1,"{""gke-fluence-gang-default-pool-014898e6-775d"": 1}"
default,1,qmcpack-n4-a1a17d,qmcpack,4,32,done,210.0,10.0,97.0,227.0,90.0,7.0,185.0,212.91,229.91,2026-07-01T14:37:16+00:00,2026-07-01T14:40:46+00:00,2026-07-01T14:40:56+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:40:56+00:00,2026-07-01T14:39:26+00:00,2026-07-01T14:41:03+00:00,4,"{""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1, ""gke-fluence-gang-default-pool-014898e6-775d"": 1, ""gke-fluence-gang-default-pool-014898e6-3b1g"": 1}"
default,1,amg-n2-c2da41,amg,2,16,done,227.0,11.0,85.0,322.0,1.0,84.0,1.0,230.91,325.91,2026-07-01T14:37:17+00:00,2026-07-01T14:41:04+00:00,2026-07-01T14:41:15+00:00,2026-07-01T14:41:14+00:00,2026-07-01T14:41:15+00:00,2026-07-01T14:41:14+00:00,2026-07-01T14:42:39+00:00,2,"{""gke-fluence-gang-default-pool-014898e6-xshv"": 1, ""gke-fluence-gang-default-pool-014898e6-8rjt"": 1}"
