run_name,scheduler,backend,n_pods,n_consumers,n_shots,n_nodes,seed,job_ok,batch_wall_s,total_consumer_idle_s,mean_consumer_idle_s,qpu_queue_wait_s,n_consumers_observed,timestamp,repeat
gang-rigetti-cepheus-default-n3-q10,default,rigetti_cepheus,3,2,100,10,42,True,22.416,27.799,13.899,3.823,2,2026-06-28T04:33:31.791606+00:00,1
gang-rigetti-cepheus-default-n3-q10,default,rigetti_cepheus,3,2,100,10,42,True,22.436,17.832,8.916,3.11,2,2026-06-28T04:33:59.807365+00:00,2
gang-rigetti-cepheus-default-n3-q10,default,rigetti_cepheus,3,2,100,10,42,True,22.371,28.134,14.067,3.93,2,2026-06-28T04:34:27.707865+00:00,3
gang-rigetti-cepheus-default-n3-q10,default,rigetti_cepheus,3,2,100,10,42,True,22.265,17.486,8.743,2.718,2,2026-06-28T04:34:55.396911+00:00,4
gang-rigetti-cepheus-default-n3-q10,default,rigetti_cepheus,3,2,100,10,42,True,22.356,18.106,9.053,2.902,2,2026-06-28T04:35:23.405253+00:00,5
gang-rigetti-cepheus-default-n5-q10,default,rigetti_cepheus,5,4,100,10,42,True,22.321,55.887,13.972,3.822,4,2026-06-28T04:35:52.291146+00:00,1
gang-rigetti-cepheus-default-n5-q10,default,rigetti_cepheus,5,4,100,10,42,True,32.91,58.939,14.735,3.889,4,2026-06-28T04:36:31.559436+00:00,2
gang-rigetti-cepheus-default-n5-q10,default,rigetti_cepheus,5,4,100,10,42,True,22.447,56.266,14.066,4.088,4,2026-06-28T04:37:00.337802+00:00,3
gang-rigetti-cepheus-default-n5-q10,default,rigetti_cepheus,5,4,100,10,42,True,22.533,55.325,13.831,3.277,4,2026-06-28T04:37:29.219985+00:00,4
gang-rigetti-cepheus-default-n5-q10,default,rigetti_cepheus,5,4,100,10,42,True,22.334,55.652,13.913,4.079,4,2026-06-28T04:37:58.200419+00:00,5
gang-rigetti-cepheus-default-n9-q10,default,rigetti_cepheus,9,8,100,10,42,True,22.716,116.228,14.529,3.311,8,2026-06-28T04:38:29.311697+00:00,1
gang-rigetti-cepheus-default-n9-q10,default,rigetti_cepheus,9,8,100,10,42,True,22.306,75.619,9.452,2.957,8,2026-06-28T04:39:00.402824+00:00,2
gang-rigetti-cepheus-default-n9-q10,default,rigetti_cepheus,9,8,100,10,42,True,22.456,96.463,12.058,4.142,8,2026-06-28T04:39:31.197006+00:00,3
gang-rigetti-cepheus-default-n9-q10,default,rigetti_cepheus,9,8,100,10,42,True,23.046,114.596,14.324,3.811,8,2026-06-28T04:40:02.670378+00:00,4
gang-rigetti-cepheus-default-n9-q10,default,rigetti_cepheus,9,8,100,10,42,True,22.371,75.702,9.463,2.807,8,2026-06-28T04:40:33.382965+00:00,5
gang-rigetti-cepheus-fluence-n3-q10,fluence,rigetti_cepheus,3,2,100,10,42,True,53.79,6.419,3.21,3.484,2,2026-06-28T04:41:32.923710+00:00,1
gang-rigetti-cepheus-fluence-n3-q10,fluence,rigetti_cepheus,3,2,100,10,42,True,53.957,6.368,3.184,3.977,2,2026-06-28T04:42:32.737732+00:00,2
gang-rigetti-cepheus-fluence-n3-q10,fluence,rigetti_cepheus,3,2,100,10,42,True,54.659,6.347,3.174,3.944,2,2026-06-28T04:43:33.118198+00:00,3
gang-rigetti-cepheus-fluence-n3-q10,fluence,rigetti_cepheus,3,2,100,10,42,True,53.875,7.758,3.879,3.49,2,2026-06-28T04:44:32.566211+00:00,4
gang-rigetti-cepheus-fluence-n3-q10,fluence,rigetti_cepheus,3,2,100,10,42,True,53.899,6.421,3.211,3.731,2,2026-06-28T04:45:32.065299+00:00,5
gang-rigetti-cepheus-fluence-n5-q10,fluence,rigetti_cepheus,5,4,100,10,42,True,53.944,17.978,4.495,3.791,4,2026-06-28T04:46:32.675008+00:00,1
gang-rigetti-cepheus-fluence-n5-q10,fluence,rigetti_cepheus,5,4,100,10,42,True,53.877,17.168,4.292,3.887,4,2026-06-28T04:47:33.221609+00:00,2
gang-rigetti-cepheus-fluence-n5-q10,fluence,rigetti_cepheus,5,4,100,10,42,True,76.517,16.801,4.2,3.64,4,2026-06-28T04:48:56.504602+00:00,3
gang-rigetti-cepheus-fluence-n5-q10,fluence,rigetti_cepheus,5,4,100,10,42,True,53.913,16.734,4.183,3.334,4,2026-06-28T04:49:57.457048+00:00,4
gang-rigetti-cepheus-fluence-n5-q10,fluence,rigetti_cepheus,5,4,100,10,42,True,53.909,17.178,4.294,4.179,4,2026-06-28T04:50:58.138528+00:00,5
gang-rigetti-cepheus-fluence-n9-q10,fluence,rigetti_cepheus,9,8,100,10,42,True,65.658,66.017,8.252,4.353,8,2026-06-28T04:52:12.760159+00:00,1
gang-rigetti-cepheus-fluence-n9-q10,fluence,rigetti_cepheus,9,8,100,10,42,True,64.971,65.035,8.129,3.462,8,2026-06-28T04:53:26.494312+00:00,2
gang-rigetti-cepheus-fluence-n9-q10,fluence,rigetti_cepheus,9,8,100,10,42,True,54.4,62.958,7.87,4.003,8,2026-06-28T04:54:29.765658+00:00,3
gang-rigetti-cepheus-fluence-n9-q10,fluence,rigetti_cepheus,9,8,100,10,42,True,64.699,63.239,7.905,3.699,8,2026-06-28T04:55:43.299962+00:00,4
gang-rigetti-cepheus-fluence-n9-q10,fluence,rigetti_cepheus,9,8,100,10,42,True,64.578,63.115,7.889,3.706,8,2026-06-28T04:56:56.496061+00:00,5
