scheduler,backend,n_workers,n_nodes,n_repeats,qpu_wait_s_mean,qpu_wait_s_stdev,worker_idle_s_mean,worker_idle_s_stdev,node_seconds_mean,node_seconds_stdev
default,tn1,2,10,10,16.707,3.807,57.286,6.591,57.286,6.591
default,tn1,4,10,10,15.937,0.767,110.467,1.043,110.467,1.043
default,tn1,8,10,10,17.231,4.532,241.667,40.075,241.667,40.075
fluence,tn1,2,10,10,1.897,0.068,4.759,0.448,4.759,0.448
fluence,tn1,4,10,10,1.883,0.091,10.888,0.559,10.888,0.559
fluence,tn1,8,10,10,1.904,0.05,32.07,2.158,32.07,2.158
