run_name,backend,scheduler,n_workers,n_nodes,n_shots,seed,batch_wall_s,leader_wall_s,qpu_queue_wait_s,leader_submit_to_result_s,total_worker_idle_s,avg_worker_idle_s,worker_node_seconds,n_workers_completed,leader_failed,cost_aggregated,workers_completed,timestamp,repeat,worker_0_idle_s,worker_1_idle_s,worker_2_idle_s,worker_3_idle_s,worker_4_idle_s,worker_5_idle_s,worker_6_idle_s,worker_7_idle_s
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,33.371,21.0,1.842,4.37,24.607,12.303,24.607,2,False,,2,2026-06-23T17:53:32.178995+00:00,1,12.328,12.278,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,33.064,21.0,1.836,3.816,25.052,12.526,25.052,2,False,,2,2026-06-23T17:54:11.693439+00:00,2,12.491,12.561,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,34.465,21.0,1.913,3.855,24.981,12.49,24.981,2,False,,2,2026-06-23T17:54:52.599531+00:00,3,12.473,12.508,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,33.368,21.0,1.891,3.286,25.162,12.581,25.162,2,False,,2,2026-06-23T17:55:32.326341+00:00,4,12.43,12.732,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,33.039,21.0,1.773,3.311,25.297,12.649,25.297,2,False,,2,2026-06-23T17:56:11.521925+00:00,5,12.601,12.696,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,32.928,21.0,1.835,3.282,25.237,12.618,25.237,2,False,,2,2026-06-23T17:56:50.707900+00:00,6,12.589,12.648,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,32.897,20.0,1.759,3.386,24.777,12.388,24.777,2,False,,2,2026-06-23T17:57:29.619346+00:00,7,12.812,11.964,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,33.473,20.0,1.836,3.086,24.273,12.136,24.273,2,False,,2,2026-06-23T17:58:09.067667+00:00,8,12.136,12.137,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,22.806,16.0,1.861,4.351,24.626,12.313,24.626,2,False,,2,2026-06-23T17:58:37.741068+00:00,9,12.334,12.292,,,,,,
gang-sv1-default-w2-q10,sv1,default,2,10,1000,42,32.968,21.0,1.901,3.51,25.456,12.728,25.456,2,False,,2,2026-06-23T17:59:16.636140+00:00,10,12.745,12.711,,,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,33.861,22.0,1.941,3.594,48.99,12.248,48.99,4,False,,4,2026-06-23T17:59:58.904714+00:00,1,12.196,12.322,12.23,12.243,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,44.626,33.0,1.908,4.124,96.72,24.18,96.72,4,False,,4,2026-06-23T18:00:52.202462+00:00,2,25.729,24.419,23.615,22.958,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,24.158,16.0,2.052,3.622,50.468,12.617,50.468,4,False,,4,2026-06-23T18:01:24.578447+00:00,3,13.131,13.168,12.027,12.141,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,34.019,21.0,1.992,3.486,48.005,12.001,48.005,4,False,,4,2026-06-23T18:02:06.709661+00:00,4,12.026,11.866,12.077,12.036,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,34.157,21.0,1.915,3.507,48.679,12.17,48.679,4,False,,4,2026-06-23T18:02:48.943718+00:00,5,12.097,12.15,12.221,12.212,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,34.321,22.0,1.885,3.384,49.627,12.407,49.627,4,False,,4,2026-06-23T18:03:32.526925+00:00,6,12.431,12.392,12.368,12.435,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,34.19,22.0,1.805,3.464,50.778,12.694,50.778,4,False,,4,2026-06-23T18:04:15.481652+00:00,7,12.677,12.625,12.634,12.842,,,,
gang-sv1-default-w4-q10,sv1,default,4,10,1000,42,34.064,20.0,1.983,3.355,49.212,12.303,49.212,4,False,,4,2026-06-23T18:04:57.923628+00:00,8,11.943,12.07,13.238,11.961,,,,
