scheduler,backend,n_pods,n_consumers,n_repeats,idle_mean_s,idle_stdev_s
default,sv1,3,2,5,17.121,0.101
default,sv1,5,4,5,34.489,0.118
default,sv1,9,8,5,75.683,1.081
fluence,sv1,3,2,5,6.374,0.173
fluence,sv1,5,4,5,16.788,0.182
fluence,sv1,9,8,5,63.667,2.601
