run_name,scheduler,backend,n_pods,n_consumers,n_shots,n_nodes,seed,job_ok,batch_wall_s,total_consumer_idle_s,mean_consumer_idle_s,qpu_queue_wait_s,n_consumers_observed,timestamp,repeat
gang-dm1-default-n3-q10,default,dm1,3,2,1000,10,42,True,23.052,17.549,8.775,3.467,2,2026-06-28T02:12:19.982476+00:00,1
gang-dm1-default-n3-q10,default,dm1,3,2,1000,10,42,True,23.199,18.009,9.005,3.792,2,2026-06-28T02:12:49.003348+00:00,2
gang-dm1-default-n3-q10,default,dm1,3,2,1000,10,42,True,22.608,17.131,8.565,3.493,2,2026-06-28T02:13:17.536559+00:00,3
gang-dm1-default-n3-q10,default,dm1,3,2,1000,10,42,True,22.625,17.113,8.556,3.256,2,2026-06-28T02:13:46.258332+00:00,4
gang-dm1-default-n3-q10,default,dm1,3,2,1000,10,42,True,22.667,17.008,8.504,2.869,2,2026-06-28T02:14:15.010681+00:00,5
gang-dm1-default-n5-q10,default,dm1,5,4,1000,10,42,True,22.682,34.652,8.663,3.095,4,2026-06-28T02:14:44.899390+00:00,1
gang-dm1-default-n5-q10,default,dm1,5,4,1000,10,42,True,22.701,34.308,8.577,2.988,4,2026-06-28T02:15:14.537950+00:00,2
gang-dm1-default-n5-q10,default,dm1,5,4,1000,10,42,True,22.509,34.478,8.62,2.89,4,2026-06-28T02:15:43.974630+00:00,3
gang-dm1-default-n5-q10,default,dm1,5,4,1000,10,42,True,22.632,34.633,8.658,3.119,4,2026-06-28T02:16:13.734470+00:00,4
gang-dm1-default-n5-q10,default,dm1,5,4,1000,10,42,True,22.591,34.307,8.577,2.99,4,2026-06-28T02:16:43.251166+00:00,5
gang-dm1-default-n9-q10,default,dm1,9,8,1000,10,42,True,22.696,75.567,9.446,2.989,8,2026-06-28T02:17:15.299457+00:00,1
gang-dm1-default-n9-q10,default,dm1,9,8,1000,10,42,True,22.715,73.0,9.125,3.913,8,2026-06-28T02:17:46.757413+00:00,2
gang-dm1-default-n9-q10,default,dm1,9,8,1000,10,42,True,24.502,73.708,9.213,2.836,8,2026-06-28T02:18:21.138026+00:00,3
gang-dm1-default-n9-q10,default,dm1,9,8,1000,10,42,True,22.78,74.264,9.283,3.186,8,2026-06-28T02:18:52.851004+00:00,4
gang-dm1-default-n9-q10,default,dm1,9,8,1000,10,42,True,22.497,74.494,9.312,3.566,8,2026-06-28T02:19:24.071547+00:00,5
gang-dm1-fluence-n3-q10,fluence,dm1,3,2,1000,10,42,True,54.37,6.132,3.066,3.333,2,2026-06-28T02:20:24.480314+00:00,1
gang-dm1-fluence-n3-q10,fluence,dm1,3,2,1000,10,42,True,54.317,6.161,3.08,3.793,2,2026-06-28T02:21:25.031612+00:00,2
gang-dm1-fluence-n3-q10,fluence,dm1,3,2,1000,10,42,True,54.345,6.284,3.142,3.506,2,2026-06-28T02:22:25.346809+00:00,3
gang-dm1-fluence-n3-q10,fluence,dm1,3,2,1000,10,42,True,55.026,6.418,3.209,4.412,2,2026-06-28T02:23:26.502478+00:00,4
gang-dm1-fluence-n3-q10,fluence,dm1,3,2,1000,10,42,True,54.397,6.329,3.165,3.56,2,2026-06-28T02:24:26.997522+00:00,5
gang-dm1-fluence-n5-q10,fluence,dm1,5,4,1000,10,42,True,54.422,17.422,4.355,4.039,4,2026-06-28T02:25:28.698456+00:00,1
gang-dm1-fluence-n5-q10,fluence,dm1,5,4,1000,10,42,True,55.383,16.876,4.219,3.387,4,2026-06-28T02:26:30.842651+00:00,2
gang-dm1-fluence-n5-q10,fluence,dm1,5,4,1000,10,42,True,54.298,16.758,4.19,3.673,4,2026-06-28T02:27:32.027071+00:00,3
gang-dm1-fluence-n5-q10,fluence,dm1,5,4,1000,10,42,True,54.475,16.666,4.167,3.934,4,2026-06-28T02:28:33.544693+00:00,4
gang-dm1-fluence-n5-q10,fluence,dm1,5,4,1000,10,42,True,54.439,16.788,4.197,3.88,4,2026-06-28T02:29:34.910166+00:00,5
gang-dm1-fluence-n9-q10,fluence,dm1,9,8,1000,10,42,True,65.166,62.716,7.84,3.169,8,2026-06-28T02:30:49.265019+00:00,1
gang-dm1-fluence-n9-q10,fluence,dm1,9,8,1000,10,42,True,64.953,65.021,8.128,3.579,8,2026-06-28T02:32:03.289924+00:00,2
gang-dm1-fluence-n9-q10,fluence,dm1,9,8,1000,10,42,True,65.368,62.139,7.767,3.886,8,2026-06-28T02:33:18.006168+00:00,3
gang-dm1-fluence-n9-q10,fluence,dm1,9,8,1000,10,42,True,65.119,62.132,7.766,3.264,8,2026-06-28T02:34:32.265224+00:00,4
gang-dm1-fluence-n9-q10,fluence,dm1,9,8,1000,10,42,True,65.209,61.969,7.746,3.577,8,2026-06-28T02:35:47.011559+00:00,5
